MAE,RMSE,R2,fold,AoA,Mach,model
0.0159607955185543,0.035641131927946226,0.9967102967481797,44,15.0,0.7,Neural network
0.020475712380884102,0.039885309302425474,0.9959411033202882,45,15.0,0.72,Neural network
0.018052392132405583,0.030688956946329216,0.9976500692283359,46,15.0,0.74,Neural network
0.01714782099680925,0.029281605022061646,0.9979329060069989,47,15.0,0.76,Neural network
0.01657701150379905,0.030705578974031603,0.9978304590696276,48,15.0,0.78,Neural network
0.020232589703907473,0.037947975891844815,0.9962674659897894,49,16.0,0.68,Neural network
0.016548566657531003,0.036072227517911414,0.9966626812642426,50,16.0,0.7,Neural network
0.02137376084448282,0.04301564946908108,0.9953315820738001,51,16.0,0.72,Neural network
0.011488673335213388,0.02184551026679259,0.9988229076930122,52,16.0,0.74,Neural network
0.028875605226421606,0.053302961668438766,0.9932165241990195,53,16.0,0.76,Neural network
0.019882833568290962,0.034626831895207766,0.9972455404765321,54,16.0,0.78,Neural network
0.027599610975128672,0.050605588629463995,0.9935081721299607,55,17.0,0.68,Neural network
0.01595603702956228,0.02744119123636864,0.9981183490693933,56,17.0,0.7,Neural network
0.014849982228806657,0.024635862698786988,0.9985132084103374,57,17.0,0.72,Neural network
0.020827033768082027,0.039105317739352226,0.9963508159969543,58,17.0,0.74,Neural network
0.02100516178412209,0.03734458833191431,0.9967715778892106,59,17.0,0.76,Neural network
0.026819798218140938,0.04356336403831867,0.9957659206087437,60,17.0,0.78,Neural network
0.02098037005958492,0.034952390561821596,0.9969614575549124,61,18.0,0.68,Neural network
0.01855001532852875,0.033355476236359885,0.9972770188045459,62,18.0,0.7,Neural network
0.024459021185429985,0.041425412425266865,0.9958841301770767,63,18.0,0.72,Neural network
0.014414792833537452,0.030325873217322677,0.9978481070820419,64,18.0,0.74,Neural network
0.01786720190001349,0.035308680114645226,0.9971700156259681,65,18.0,0.76,Neural network
0.02013817496377624,0.03851342899983108,0.9967629577121929,66,18.0,0.78,Neural network
0.019097569893694603,0.03667615046864945,0.9967239972293768,67,19.0,0.68,Neural network
0.02200335235427144,0.03770760002087718,0.9965991834910228,68,19.0,0.7,Neural network
0.02096386697202615,0.0430877583322626,0.9956552881873919,69,19.0,0.72,Neural network
0.025474775287706877,0.043820192339140494,0.9956234938584172,70,19.0,0.74,Neural network
0.036981895925792076,0.06984735809348472,0.9892366223244232,71,19.0,0.76,Neural network
0.024535754501031074,0.04537219064183423,0.9956243361791681,72,19.0,0.78,Neural network
0.022797454881958695,0.031308802831514694,0.9966639949377962,73,2.0,0.68,Neural network
0.02281746946120089,0.03179700531553197,0.9967171283498121,74,2.0,0.7,Neural network
