fold,AoA,NN_MAE,NN_RMSE,NN_R2,RF_MAE,RF_RMSE,RF_R2,RMSE_gap_NN_minus_RF,winner
86,3.0,0.05887916041477756,0.0961881310531477,0.9810309820926422,0.0507412236041993,0.0969241915483497,0.9801923326867584,-0.0007360604952020011,Neural network
86,3.0,0.05887916041477756,0.0961881310531477,0.9810309820926422,0.0544196711905021,0.1063140257344254,0.976826960550204,-0.010125894681277697,Neural network
88,3.0,0.03588346347773505,0.04756674790504788,0.9949744107959282,0.0544196711905021,0.1063140257344254,0.976826960550204,-0.05874727782937752,Neural network
88,3.0,0.03588346347773505,0.04756674790504788,0.9949744107959282,0.0507412236041993,0.0969241915483497,0.9801923326867584,-0.04935744364330182,Neural network
87,3.0,0.07064796021748476,0.09399375419768431,0.9819059737928361,0.0823824018711568,0.0982935747279402,0.9687249646562224,-0.004299820530255891,Neural network
87,3.0,0.07064796021748476,0.09399375419768431,0.9819059737928361,0.0458867172399767,0.0604628597335188,0.9902430322538066,0.03353089446416551,Random forest tuned
87,3.0,0.07064796021748476,0.09399375419768431,0.9819059737928361,0.0311882946595226,0.0484249955971012,0.9947914211191864,0.04556875860058311,Random forest tuned
87,3.0,0.07064796021748476,0.09399375419768431,0.9819059737928361,0.0354793091939733,0.051999504280508,0.994462220876138,0.04199424991717631,Random forest tuned
87,3.0,0.07064796021748476,0.09399375419768431,0.9819059737928361,0.0544196711905021,0.1063140257344254,0.976826960550204,-0.01232027153674109,Neural network
87,3.0,0.07064796021748476,0.09399375419768431,0.9819059737928361,0.0507412236041993,0.0969241915483497,0.9801923326867584,-0.0029304373506653936,Neural network
86,3.0,0.05887916041477756,0.0961881310531477,0.9810309820926422,0.0354793091939733,0.051999504280508,0.994462220876138,0.044188626772639704,Random forest tuned
86,3.0,0.05887916041477756,0.0961881310531477,0.9810309820926422,0.0311882946595226,0.0484249955971012,0.9947914211191864,0.047763135456046504,Random forest tuned
86,3.0,0.05887916041477756,0.0961881310531477,0.9810309820926422,0.0458867172399767,0.0604628597335188,0.9902430322538066,0.0357252713196289,Random forest tuned
86,3.0,0.05887916041477756,0.0961881310531477,0.9810309820926422,0.0823824018711568,0.0982935747279402,0.9687249646562224,-0.002105443674792498,Neural network
85,3.0,0.04993697013976875,0.07911834099682213,0.9868015387139952,0.0507412236041993,0.0969241915483497,0.9801923326867584,-0.01780585055152757,Neural network
85,3.0,0.04993697013976875,0.07911834099682213,0.9868015387139952,0.0544196711905021,0.1063140257344254,0.976826960550204,-0.027195684737603268,Neural network
85,3.0,0.04993697013976875,0.07911834099682213,0.9868015387139952,0.0354793091939733,0.051999504280508,0.994462220876138,0.027118836716314133,Random forest tuned
85,3.0,0.04993697013976875,0.07911834099682213,0.9868015387139952,0.0311882946595226,0.0484249955971012,0.9947914211191864,0.030693345399720934,Random forest tuned
88,3.0,0.03588346347773505,0.04756674790504788,0.9949744107959282,0.0354793091939733,0.051999504280508,0.994462220876138,-0.004432756375460117,Neural network
88,3.0,0.03588346347773505,0.04756674790504788,0.9949744107959282,0.0311882946595226,0.0484249955971012,0.9947914211191864,-0.0008582476920533169,Neural network
88,3.0,0.03588346347773505,0.04756674790504788,0.9949744107959282,0.0458867172399767,0.0604628597335188,0.9902430322538066,-0.012896111828470919,Neural network
88,3.0,0.03588346347773505,0.04756674790504788,0.9949744107959282,0.0823824018711568,0.0982935747279402,0.9687249646562224,-0.05072682682289232,Neural network
89,3.0,0.04654189457030213,0.06248946984424554,0.9895779973071702,0.0507412236041993,0.0969241915483497,0.9801923326867584,-0.034434721704104165,Neural network
89,3.0,0.04654189457030213,0.06248946984424554,0.9895779973071702,0.0544196711905021,0.1063140257344254,0.976826960550204,-0.04382455589017986,Neural network
89,3.0,0.04654189457030213,0.06248946984424554,0.9895779973071702,0.0354793091939733,0.051999504280508,0.994462220876138,0.01048996556373754,Random forest tuned
89,3.0,0.04654189457030213,0.06248946984424554,0.9895779973071702,0.0311882946595226,0.0484249955971012,0.9947914211191864,0.01406447424714434,Random forest tuned
89,3.0,0.04654189457030213,0.06248946984424554,0.9895779973071702,0.0458867172399767,0.0604628597335188,0.9902430322538066,0.0020266101107267384,Random forest tuned
89,3.0,0.04654189457030213,0.06248946984424554,0.9895779973071702,0.0823824018711568,0.0982935747279402,0.9687249646562224,-0.03580410488369466,Neural network
90,3.0,0.04787101893282684,0.0705247526883887,0.9838998214088295,0.0507412236041993,0.0969241915483497,0.9801923326867584,-0.026399438859961002,Neural network
90,3.0,0.04787101893282684,0.0705247526883887,0.9838998214088295,0.0544196711905021,0.1063140257344254,0.976826960550204,-0.0357892730460367,Neural network
90,3.0,0.04787101893282684,0.0705247526883887,0.9838998214088295,0.0354793091939733,0.051999504280508,0.994462220876138,0.018525248407880703,Random forest tuned
90,3.0,0.04787101893282684,0.0705247526883887,0.9838998214088295,0.0311882946595226,0.0484249955971012,0.9947914211191864,0.022099757091287503,Random forest tuned
90,3.0,0.04787101893282684,0.0705247526883887,0.9838998214088295,0.0458867172399767,0.0604628597335188,0.9902430322538066,0.010061892954869901,Random forest tuned
90,3.0,0.04787101893282684,0.0705247526883887,0.9838998214088295,0.0823824018711568,0.0982935747279402,0.9687249646562224,-0.0277688220395515,Neural network
94,4.0,0.023244899514262677,0.03364812342071712,0.9977844244554496,0.0514544307986914,0.1008428597589501,0.984906724885554,-0.06719473633823297,Neural network
94,4.0,0.023244899514262677,0.03364812342071712,0.9977844244554496,0.0556889805784699,0.1373835914010888,0.972681472924882,-0.10373546798037167,Neural network
93,4.0,0.0569510433353126,0.08183231427383855,0.9890926518183065,0.0665637273644327,0.0786400598861822,0.9823720596883668,0.003192254387656357,Random forest tuned
93,4.0,0.0569510433353126,0.08183231427383855,0.9890926518183065,0.0299700755484,0.0382088770929254,0.9965033276034412,0.043623437180913154,Random forest tuned
93,4.0,0.0569510433353126,0.08183231427383855,0.9890926518183065,0.0152190788598219,0.021148172098338,0.9991247934928807,0.060684142175500555,Random forest tuned
93,4.0,0.0569510433353126,0.08183231427383855,0.9890926518183065,0.0433617042840038,0.0624974349638231,0.9936379966072734,0.01933487931001545,Random forest tuned
93,4.0,0.0569510433353126,0.08183231427383855,0.9890926518183065,0.0514544307986914,0.1008428597589501,0.984906724885554,-0.019010545485111552,Neural network
93,4.0,0.0569510433353126,0.08183231427383855,0.9890926518183065,0.0556889805784699,0.1373835914010888,0.972681472924882,-0.05555127712725025,Neural network
92,4.0,0.04064190663984139,0.07140204356972436,0.992433161490216,0.0665637273644327,0.0786400598861822,0.9823720596883668,-0.007238016316457832,Neural network
92,4.0,0.04064190663984139,0.07140204356972436,0.992433161490216,0.0299700755484,0.0382088770929254,0.9965033276034412,0.033193166476798965,Random forest tuned
92,4.0,0.04064190663984139,0.07140204356972436,0.992433161490216,0.0152190788598219,0.021148172098338,0.9991247934928807,0.050253871471386366,Random forest tuned
92,4.0,0.04064190663984139,0.07140204356972436,0.992433161490216,0.0433617042840038,0.0624974349638231,0.9936379966072734,0.008904608605901261,Random forest tuned
92,4.0,0.04064190663984139,0.07140204356972436,0.992433161490216,0.0514544307986914,0.1008428597589501,0.984906724885554,-0.02944081618922574,Neural network
92,4.0,0.04064190663984139,0.07140204356972436,0.992433161490216,0.0556889805784699,0.1373835914010888,0.972681472924882,-0.06598154783136444,Neural network
91,4.0,0.04861344855389583,0.08244090428773519,0.9901627650714329,0.0665637273644327,0.0786400598861822,0.9823720596883668,0.003800844401552997,Random forest tuned
91,4.0,0.04861344855389583,0.08244090428773519,0.9901627650714329,0.0299700755484,0.0382088770929254,0.9965033276034412,0.04423202719480979,Random forest tuned
96,4.0,0.03721234870366125,0.053701532774211,0.9917797076425902,0.0665637273644327,0.0786400598861822,0.9823720596883668,-0.024938527111971198,Neural network
96,4.0,0.03721234870366125,0.053701532774211,0.9917797076425902,0.0299700755484,0.0382088770929254,0.9965033276034412,0.015492655681285598,Random forest tuned
96,4.0,0.03721234870366125,0.053701532774211,0.9917797076425902,0.0152190788598219,0.021148172098338,0.9991247934928807,0.032553360675873,Random forest tuned
96,4.0,0.03721234870366125,0.053701532774211,0.9917797076425902,0.0433617042840038,0.0624974349638231,0.9936379966072734,-0.008795902189612105,Neural network
96,4.0,0.03721234870366125,0.053701532774211,0.9917797076425902,0.0514544307986914,0.1008428597589501,0.984906724885554,-0.04714132698473911,Neural network
96,4.0,0.03721234870366125,0.053701532774211,0.9917797076425902,0.0556889805784699,0.1373835914010888,0.972681472924882,-0.0836820586268778,Neural network
95,4.0,0.020896969852465367,0.03093518522903971,0.9977079090966399,0.0665637273644327,0.0786400598861822,0.9823720596883668,-0.04770487465714249,Neural network
95,4.0,0.020896969852465367,0.03093518522903971,0.9977079090966399,0.0299700755484,0.0382088770929254,0.9965033276034412,-0.0072736918638856875,Neural network
95,4.0,0.020896969852465367,0.03093518522903971,0.9977079090966399,0.0152190788598219,0.021148172098338,0.9991247934928807,0.00978701313070171,Random forest tuned
95,4.0,0.020896969852465367,0.03093518522903971,0.9977079090966399,0.0433617042840038,0.0624974349638231,0.9936379966072734,-0.03156224973478339,Neural network
95,4.0,0.020896969852465367,0.03093518522903971,0.9977079090966399,0.0514544307986914,0.1008428597589501,0.984906724885554,-0.0699076745299104,Neural network
95,4.0,0.020896969852465367,0.03093518522903971,0.9977079090966399,0.0556889805784699,0.1373835914010888,0.972681472924882,-0.10644840617204909,Neural network
94,4.0,0.023244899514262677,0.03364812342071712,0.9977844244554496,0.0665637273644327,0.0786400598861822,0.9823720596883668,-0.04499193646546507,Neural network
94,4.0,0.023244899514262677,0.03364812342071712,0.9977844244554496,0.0299700755484,0.0382088770929254,0.9965033276034412,-0.004560753672208276,Neural network
94,4.0,0.023244899514262677,0.03364812342071712,0.9977844244554496,0.0152190788598219,0.021148172098338,0.9991247934928807,0.012499951322379122,Random forest tuned
94,4.0,0.023244899514262677,0.03364812342071712,0.9977844244554496,0.0433617042840038,0.0624974349638231,0.9936379966072734,-0.02884931154310598,Neural network
91,4.0,0.04861344855389583,0.08244090428773519,0.9901627650714329,0.0556889805784699,0.1373835914010888,0.972681472924882,-0.05494268711335361,Neural network
91,4.0,0.04861344855389583,0.08244090428773519,0.9901627650714329,0.0514544307986914,0.1008428597589501,0.984906724885554,-0.018401955471214912,Neural network
91,4.0,0.04861344855389583,0.08244090428773519,0.9901627650714329,0.0433617042840038,0.0624974349638231,0.9936379966072734,0.01994346932391209,Random forest tuned
91,4.0,0.04861344855389583,0.08244090428773519,0.9901627650714329,0.0152190788598219,0.021148172098338,0.9991247934928807,0.061292732189397195,Random forest tuned
97,5.0,0.0610103897556199,0.0964646863167543,0.9893857447431984,0.0346906918934785,0.051483131251765,0.9950906375326192,0.0449815550649893,Random forest tuned
