fold,AoA,Mach,MAE,RMSE,R2,model
107,6.0,0.76,0.5613203487196885,0.6966719712106242,-0.009671797589924758,Mean baseline
108,6.0,0.78,0.5282862776047542,0.6531560846726084,-0.005272374365384858,Mean baseline
109,7.0,0.68,0.797675037350576,0.9988624680012446,-0.04744523031419612,Mean baseline
110,7.0,0.7,0.7202066151633989,0.905522429313924,-0.03691660796736995,Mean baseline
111,7.0,0.72,0.654594132793748,0.8227089089480347,-0.025379109069664674,Mean baseline
112,7.0,0.74,0.6102256193325664,0.7607917344482253,-0.01744428104679474,Mean baseline
113,7.0,0.76,0.5757982565904434,0.712710238628399,-0.011677752839898359,Mean baseline
114,7.0,0.78,0.5509759430953993,0.6771957692419291,-0.007894640445050394,Mean baseline
115,8.0,0.68,0.7183458839798392,0.9369724935479093,-0.03566108204198781,Mean baseline
116,8.0,0.7,0.674823709901395,0.8680869396532892,-0.02844341412598661,Mean baseline
117,8.0,0.72,0.6421742098626567,0.811317020417567,-0.022214099016542255,Mean baseline
118,8.0,0.74,0.612304996275965,0.7640322902573413,-0.016596002921163144,Mean baseline
119,8.0,0.76,0.5887739113730603,0.7264918480143719,-0.012400067727285302,Mean baseline
120,8.0,0.78,0.569956561793973,0.6966138371250656,-0.009235515794662197,Mean baseline
121,9.0,0.68,0.6541799604812121,0.8558832732802749,-0.021929785697287096,Mean baseline
122,9.0,0.7,0.6372398142375257,0.8172827485828881,-0.018865623236272944,Mean baseline
123,9.0,0.72,0.6184101240873598,0.7816822077559804,-0.015248512203163145,Mean baseline
124,9.0,0.74,0.6037988055321194,0.7526929120912244,-0.012489006396505964,Mean baseline
125,9.0,0.76,0.5935847328066597,0.7300758209622928,-0.01058847580866562,Mean baseline
126,9.0,0.78,0.5884521648946185,0.714370524088633,-0.009708148686218276,Mean baseline
1,0.0,0.68,0.3984118912164985,0.48617352685421983,-0.5932771323968764,Linear regression
2,0.0,0.7,0.3942311977687747,0.48812767838891824,-0.5291040977649384,Linear regression
3,0.0,0.72,0.3901927886453314,0.49134769692198854,-0.46343246719969966,Linear regression
4,0.0,0.74,0.38608536245330943,0.4964246757309565,-0.39294374038255797,Linear regression
5,0.0,0.76,0.3906446682121292,0.5085181044027717,-0.3326467557444852,Linear regression
6,0.0,0.78,0.4098328805661968,0.5308469393776537,-0.3136486253879982,Linear regression
7,1.0,0.68,0.3343819191133422,0.43839899813846483,0.009408308586040803,Linear regression
8,1.0,0.7,0.3278746740494371,0.43914261837484697,0.05409523132726757,Linear regression
9,1.0,0.72,0.320001139939649,0.4411077917900389,0.10044738938958697,Linear regression
10,1.0,0.74,0.31686639112856385,0.4474223951855825,0.14274514538449534,Linear regression
11,1.0,0.76,0.3273368979264693,0.4609802391952168,0.14199514547810255,Linear regression
12,1.0,0.78,0.34726843549176073,0.4783421955519952,0.06900671393252056,Linear regression
13,10.0,0.68,0.4606303984193956,0.6198168095426404,0.29642378678816095,Linear regression
14,10.0,0.7,0.4549301523980356,0.6083298380465054,0.30842746050201886,Linear regression
15,10.0,0.72,0.44870632224465284,0.5971530167784704,0.3226559070966243,Linear regression
16,10.0,0.74,0.44514801073510774,0.5874059218097859,0.33945298389453926,Linear regression
17,10.0,0.76,0.4444077641157121,0.5755026940253913,0.3587902096238438,Linear regression
18,10.0,0.78,0.4478189264979366,0.5627658535504901,0.38235425439949444,Linear regression
19,11.0,0.68,0.41126568904119426,0.5574240319795857,0.3130702297637046,Linear regression
20,11.0,0.7,0.4076834136016057,0.5493359835180841,0.32539380444720023,Linear regression
21,11.0,0.72,0.40636068697452804,0.5457521534016744,0.33708934692590076,Linear regression
22,11.0,0.74,0.4079322782738634,0.5469647888196405,0.34839981201275716,Linear regression
23,11.0,0.76,0.41479544846201977,0.5548819408281755,0.36075399527975693,Linear regression
24,11.0,0.78,0.4273476489931764,0.5607159576018632,0.37855235623345806,Linear regression
25,12.0,0.68,0.3821992730242723,0.5239509926758779,0.3348823898623894,Linear regression
26,12.0,0.7,0.38058755334304356,0.5192161146399854,0.3478570709336418,Linear regression
27,12.0,0.72,0.37949242272650413,0.5154895990851012,0.36117219023021874,Linear regression
28,12.0,0.74,0.37920743303152626,0.5133083340463642,0.3746740513765576,Linear regression
29,12.0,0.76,0.383518938912383,0.518649811358004,0.38509459889030306,Linear regression
30,12.0,0.78,0.3951195005688988,0.5346054008093967,0.39265096601645333,Linear regression
31,13.0,0.68,0.36088686654501845,0.5003919006802486,0.3623974252212825,Linear regression
32,13.0,0.7,0.3589409436615749,0.49457479118851594,0.37727895944402745,Linear regression
33,13.0,0.72,0.35927513858526233,0.49293091798598904,0.39009846772047885,Linear regression
34,13.0,0.74,0.3611892758070901,0.49395146692002095,0.4019968514966076,Linear regression
35,13.0,0.76,0.3644811008358488,0.49726205597713435,0.4133538415145963,Linear regression
