"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
2495, 1.134461164474490e-002, 1.383305341005330e-002, 4.224176631162260e-001, 0.000000000000000e+000, 0.000000000000000e+000, 9.546139796562988e+004, 0.000000000000000e+000, 3.818455918625194e+004, 3.149024626628200e+002, 0.000000000000000e+000, -4.121761572220472e-002, 1.915594808482735e-005, 4.598890334394155e-003, 2.812335209733691e-003, -1.125143754123779e+003, 3.154224774435711e+000, 0.000000000000000e+000
2521, 1.328635215759280e-002, 1.496464014053340e-002, 4.132441412444969e-001, 0.000000000000000e+000, 0.000000000000000e+000, 9.332574649483373e+004, 0.000000000000000e+000, 3.733029859793348e+004, 3.146915662767790e+002, 0.000000000000000e+000, -1.004335708002470e-001, 1.914620173466188e-005, 4.713264085646172e-003, 2.609354762916696e-003, -1.108578691754985e+003, 3.133574710361304e+000, 0.000000000000000e+000
2547, 1.542121171951290e-002, 1.608993858098980e-002, 4.062113162955126e-001, 0.000000000000000e+000, 0.000000000000000e+000, 9.169152261290015e+004, 0.000000000000000e+000, 3.667660904516005e+004, 3.145339314587005e+002, 0.000000000000000e+000, -1.457462677938098e-001, 1.913891470599617e-005, 4.777745157497296e-003, 2.404404225207333e-003, -1.072812529135057e+003, 3.108995630073933e+000, 0.000000000000000e+000
2573, 1.774638891220090e-002, 1.720915734767910e-002, 4.015229466432099e-001, 0.000000000000000e+000, 0.000000000000000e+000, 9.059408932303305e+004, 0.000000000000000e+000, 3.623763572921321e+004, 3.143980404202852e+002, 0.000000000000000e+000, -1.761751843481075e-001, 1.913263138703425e-005, 4.841477723242153e-003, 2.245436271099638e-003, -1.047827324618501e+003, 3.100072213250957e+000, 0.000000000000000e+000
2599, 2.023851871490480e-002, 1.832416467368600e-002, 3.974192101960484e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.964338026573506e+004, 0.000000000000000e+000, 3.585735210629402e+004, 3.143110903566329e+002, 0.000000000000000e+000, -2.025358268026826e-001, 1.912861029415464e-005, 4.884055702560646e-003, 2.104341716005217e-003, -1.039027075961472e+003, 3.090287363909919e+000, 0.000000000000000e+000
2625, 2.291005849838260e-002, 1.943397335708140e-002, 3.933751379721221e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.872023326280514e+004, 0.000000000000000e+000, 3.548809330512205e+004, 3.142722995947331e+002, 0.000000000000000e+000, -2.281322465385065e-001, 1.912681619949876e-005, 4.894514523159393e-003, 1.960567441324640e-003, -1.027764603674697e+003, 3.071729002117703e+000, 0.000000000000000e+000
2651, 2.576607465744020e-002, 2.053830586373810e-002, 3.903997804156111e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.804193003722448e+004, 0.000000000000000e+000, 3.521677201488979e+004, 3.142464110658585e+002, 0.000000000000000e+000, -2.469397972482212e-001, 1.912561877964358e-005, 4.890986072716471e-003, 1.831906372842946e-003, -1.007979751383889e+003, 3.055499711340517e+000, 0.000000000000000e+000
2677, 2.879580855369570e-002, 2.163846604526040e-002, 3.882377470961337e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.754951988417971e+004, 0.000000000000000e+000, 3.501980795367188e+004, 3.142290607374029e+002, 0.000000000000000e+000, -2.605930257367634e-001, 1.912481624919501e-005, 4.882846003730368e-003, 1.722882826539974e-003, -9.901113463043757e+002, 3.042920943371839e+000, 0.000000000000000e+000
2703, 3.199326992034910e-002, 2.273553423583510e-002, 3.861461925837050e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.707875783609628e+004, 0.000000000000000e+000, 3.483150313443850e+004, 3.142322860053544e+002, 0.000000000000000e+000, -2.736460096496135e-001, 1.912496543394573e-005, 4.862062475752936e-003, 1.618947329491382e-003, -9.730099968251724e+002, 3.026801121655779e+000, 0.000000000000000e+000
2729, 3.537228703498840e-002, 2.382827177643780e-002, 3.844433334810108e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.670010323581100e+004, 0.000000000000000e+000, 3.468004129432439e+004, 3.142516863559763e+002, 0.000000000000000e+000, -2.841450981512721e-001, 1.912586278112124e-005, 4.825954062580643e-003, 1.522732410163960e-003, -9.516169092512948e+002, 3.008827098180758e+000, 0.000000000000000e+000
2755, 3.891497850418090e-002, 2.491953969001770e-002, 3.831682998098654e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.641984754733939e+004, 0.000000000000000e+000, 3.456793901893575e+004, 3.142782024830522e+002, 0.000000000000000e+000, -2.919158456191227e-001, 1.912708921846377e-005, 4.791073348359183e-003, 1.450973404344586e-003, -9.409759202589321e+002, 2.994220366893666e+000, 0.000000000000000e+000
2781, 4.259017109870910e-002, 2.601420320570470e-002, 3.807814156730623e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.587682847229233e+004, 0.000000000000000e+000, 3.435073138891692e+004, 3.142610733935096e+002, 0.000000000000000e+000, -3.069723253838289e-001, 1.912629696097220e-005, 4.803863765375069e-003, 1.392216605442425e-003, -9.463269522657398e+002, 2.990103132168234e+000, 0.000000000000000e+000
2807, 4.645630717277530e-002, 2.710510604083540e-002, 3.782057076044087e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.529282530541581e+004, 0.000000000000000e+000, 3.411713012216632e+004, 3.142496181013754e+002, 0.000000000000000e+000, -3.231651853930992e-001, 1.912576711701603e-005, 4.794552325846745e-003, 1.323777707154608e-003, -9.389529828438067e+002, 2.977337545361955e+000, 0.000000000000000e+000
2833, 5.049252510070800e-002, 2.819604612886910e-002, 3.765823579692948e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.492123791788443e+004, 0.000000000000000e+000, 3.396849516715376e+004, 3.142293033246717e+002, 0.000000000000000e+000, -3.334683188156247e-001, 1.912482747009401e-005, 4.782812948940442e-003, 1.266834609725887e-003, -9.251357736834350e+002, 2.968325600421846e+000, 0.000000000000000e+000
2859, 5.469727516174320e-002, 2.928791008889680e-002, 3.748835353958604e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.453506153286154e+004, 0.000000000000000e+000, 3.381402461314461e+004, 3.142178428455744e+002, 0.000000000000000e+000, -3.441759664727543e-001, 1.912429735979136e-005, 4.763337413551728e-003, 1.208586444246289e-003, -9.111989690272085e+002, 2.956564156763814e+000, 0.000000000000000e+000
2885, 5.909299850463870e-002, 3.037821687757970e-002, 3.733462973706799e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.418809801929977e+004, 0.000000000000000e+000, 3.367523920771990e+004, 3.142166441750228e+002, 0.000000000000000e+000, -3.537963451317942e-001, 1.912424191412319e-005, 4.736628133912782e-003, 1.153747259963960e-003, -8.962990169410688e+002, 2.943168673481533e+000, 0.000000000000000e+000
2911, 6.365954875946039e-002, 3.147093951702120e-002, 3.719739452089628e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.387965509765848e+004, 0.000000000000000e+000, 3.355186203906339e+004, 3.142204539689822e+002, 0.000000000000000e+000, -3.623486498696271e-001, 1.912441813947435e-005, 4.711892488873583e-003, 1.110777718222410e-003, -8.884074247932042e+002, 2.931314711838787e+000, 0.000000000000000e+000
2937, 6.838649511337280e-002, 3.256905823946000e-002, 3.698312503653930e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.338845697484986e+004, 0.000000000000000e+000, 3.335538278993994e+004, 3.141902244581701e+002, 0.000000000000000e+000, -3.759682719720157e-001, 1.912301981802542e-005, 4.723334917551415e-003, 1.072799904457242e-003, -8.910951336080930e+002, 2.927666190860325e+000, 0.000000000000000e+000
2963, 7.332068681716920e-002, 3.366525098681450e-002, 3.676614280833638e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.289151413861527e+004, 0.000000000000000e+000, 3.315660565544610e+004, 3.141610498831126e+002, 0.000000000000000e+000, -3.897471797522508e-001, 1.912167023164819e-005, 4.722659731719536e-003, 1.032236653459765e-003, -8.876507176129318e+002, 2.919011299324456e+000, 0.000000000000000e+000
2989, 7.843562960624691e-002, 3.476550802588460e-002, 3.657552606761794e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.245465444543608e+004, 0.000000000000000e+000, 3.298186177817443e+004, 3.141339905068512e+002, 0.000000000000000e+000, -4.018601412164459e-001, 1.912041843698456e-005, 4.712175704648264e-003, 9.939369179071255e-004, -8.813030782592987e+002, 2.909709714832491e+000, 0.000000000000000e+000
3015, 8.375442028045650e-002, 3.586603328585620e-002, 3.636240259843631e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.196624018524325e+004, 0.000000000000000e+000, 3.278649607409730e+004, 3.141035031323878e+002, 0.000000000000000e+000, -4.154025741866869e-001, 1.911900799588177e-005, 4.711175573972611e-003, 9.565800694668785e-004, -8.793115605521759e+002, 2.901245267588946e+000, 0.000000000000000e+000
3041, 8.928063511848450e-002, 3.696753084659580e-002, 3.615692414776956e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.149638589907509e+004, 0.000000000000000e+000, 3.259855435963003e+004, 3.140777767861850e+002, 0.000000000000000e+000, -4.284303882675058e-001, 1.911781776228941e-005, 4.703928288861619e-003, 9.204422352719701e-004, -8.767585225282262e+002, 2.890912860812333e+000, 0.000000000000000e+000
3067, 9.501701593399051e-002, 3.806984424591060e-002, 3.593537170846326e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.099163632165312e+004, 0.000000000000000e+000, 3.239665452866124e+004, 3.140569209643740e+002, 0.000000000000000e+000, -4.424257562903312e-001, 1.911685282901670e-005, 4.689757191058037e-003, 8.782883443671679e-004, -8.701202911065469e+002, 2.877952275879151e+000, 0.000000000000000e+000
3093, 1.010102331638340e-001, 3.916422650218010e-002, 3.577395848975483e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.062163633494546e+004, 0.000000000000000e+000, 3.224865453397818e+004, 3.140327529753150e+002, 0.000000000000000e+000, -4.526848752951702e-001, 1.911573461266100e-005, 4.673283214622060e-003, 8.407598160897072e-004, -8.581912942272095e+002, 2.866028986615562e+000, 0.000000000000000e+000
3119, 1.072062253952030e-001, 4.026277735829350e-002, 3.562925872684228e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.029128341041053e+004, 0.000000000000000e+000, 3.211651336416421e+004, 3.140161247392288e+002, 0.000000000000000e+000, -4.618446863442398e-001, 1.911496522464743e-005, 4.649142011063557e-003, 8.042050881050380e-004, -8.461677567778401e+002, 2.853632973764406e+000, 0.000000000000000e+000
3145, 1.136637628078460e-001, 4.135302454233170e-002, 3.547161835106266e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.993351961743244e+004, 0.000000000000000e+000, 3.197340784697297e+004, 3.140062335941563e+002, 0.000000000000000e+000, -4.717645281270579e-001, 1.911450755211575e-005, 4.625153533883169e-003, 7.663420821016729e-004, -8.350021713009562e+002, 2.839884779048438e+000, 0.000000000000000e+000
3171, 1.203565001487730e-001, 4.244164749979970e-002, 3.534348857533662e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.964384951709505e+004, 0.000000000000000e+000, 3.185753980683801e+004, 3.140025431279057e+002, 0.000000000000000e+000, -4.797963122845340e-001, 1.911433678897052e-005, 4.599021964198492e-003, 7.364614379471765e-004, -8.264743806858357e+002, 2.825913461055833e+000, 0.000000000000000e+000
3197, 1.272729039192200e-001, 4.353231564164160e-002, 3.515543134779937e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.921373399708157e+004, 0.000000000000000e+000, 3.168549359883262e+004, 3.139774018041771e+002, 0.000000000000000e+000, -4.917222757012111e-001, 1.911317343767266e-005, 4.600215867389801e-003, 7.102897463751510e-004, -8.303101551888285e+002, 2.819104997676428e+000, 0.000000000000000e+000
3223, 1.344466507434840e-001, 4.461721703410150e-002, 3.491940291469454e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.867342577609431e+004, 0.000000000000000e+000, 3.146937031043772e+004, 3.139435675406480e+002, 0.000000000000000e+000, -5.067035906675295e-001, 1.911160777002773e-005, 4.605837908034708e-003, 6.786626936035004e-004, -8.341008020433122e+002, 2.811066948143824e+000, 0.000000000000000e+000
3249, 1.419069468975070e-001, 4.568861797451970e-002, 3.472696081030776e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.823505427613462e+004, 0.000000000000000e+000, 3.129402171045384e+004, 3.139243096584630e+002, 0.000000000000000e+000, -5.188584705269431e-001, 1.911071658171964e-005, 4.582320131906834e-003, 6.415906893020013e-004, -8.234380361765271e+002, 2.795914140906818e+000, 0.000000000000000e+000
3275, 1.496536135673520e-001, 4.674641042947770e-002, 3.461339052390690e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.797568425691483e+004, 0.000000000000000e+000, 3.119027370276592e+004, 3.139101719530344e+002, 0.000000000000000e+000, -5.260501137406107e-001, 1.911006232035919e-005, 4.551333639329855e-003, 6.067971208408124e-004, -8.059874047442232e+002, 2.781938223609898e+000, 0.000000000000000e+000
3301, 1.576814949512480e-001, 4.779172688722610e-002, 3.453610567829229e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.780286572711462e+004, 0.000000000000000e+000, 3.112114629084585e+004, 3.139153595542704e+002, 0.000000000000000e+000, -5.308419135437341e-001, 1.911030239261944e-005, 4.499995690584139e-003, 5.682460329951323e-004, -7.803986299079668e+002, 2.762244160506934e+000, 0.000000000000000e+000
3327, 1.660248339176180e-001, 4.881371930241580e-002, 3.452279448202701e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.777541790887529e+004, 0.000000000000000e+000, 3.111016716355010e+004, 3.139256102309707e+002, 0.000000000000000e+000, -5.316029687974014e-001, 1.911077676857433e-005, 4.447903277133179e-003, 5.353254600054679e-004, -7.535160080236116e+002, 2.745587902536985e+000, 0.000000000000000e+000
3353, 1.746245622634890e-001, 4.983090236783030e-002, 3.452607861251450e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.778843864224455e+004, 0.000000000000000e+000, 3.111537545689781e+004, 3.139483002396585e+002, 0.000000000000000e+000, -5.312419383704701e-001, 1.911182677887450e-005, 4.395853563648742e-003, 5.088738439877999e-004, -7.326783010629122e+002, 2.728855203787492e+000, 0.000000000000000e+000
3379, 1.835020482540130e-001, 5.083692073822020e-002, 3.447027176830909e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.766295023798590e+004, 0.000000000000000e+000, 3.106518009519435e+004, 3.139492960135560e+002, 0.000000000000000e+000, -5.347213992333540e-001, 1.911187285877764e-005, 4.372326132728388e-003, 4.851607097525735e-004, -7.223316492147378e+002, 2.719206945602940e+000, 0.000000000000000e+000
3405, 1.926559209823610e-001, 5.183169245719910e-002, 3.438969626636489e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.748048526257939e+004, 0.000000000000000e+000, 3.099219410503175e+004, 3.139455478494996e+002, 0.000000000000000e+000, -5.397806694067594e-001, 1.911169941035690e-005, 4.357484297603970e-003, 4.660821715973897e-004, -7.181031395829104e+002, 2.710594762823622e+000, 0.000000000000000e+000
3431, 2.020680904388430e-001, 5.282276868820190e-002, 3.425261734823751e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.716500853534395e+004, 0.000000000000000e+000, 3.086600341413757e+004, 3.139185519010405e+002, 0.000000000000000e+000, -5.485280029317269e-001, 1.911045012734813e-005, 4.361517812689958e-003, 4.479202781002848e-004, -7.196662257738467e+002, 2.706705706970950e+000, 0.000000000000000e+000
3457, 2.117756903171540e-001, 5.379525944590570e-002, 3.407870071796631e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.676374848341571e+004, 0.000000000000000e+000, 3.070549939336627e+004, 3.138798828914290e+002, 0.000000000000000e+000, -5.596538806952639e-001, 1.910866056148431e-005, 4.374341623474089e-003, 4.311172447762546e-004, -7.250139018951172e+002, 2.703316857513019e+000, 0.000000000000000e+000
3483, 2.217475175857540e-001, 5.476229265332220e-002, 3.386018518668877e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.625819196143835e+004, 0.000000000000000e+000, 3.050327678457534e+004, 3.138249814392749e+002, 0.000000000000000e+000, -5.736716231519305e-001, 1.910611958652833e-005, 4.397890880792300e-003, 4.146556572563688e-004, -7.354872005360806e+002, 2.702463622430929e+000, 0.000000000000000e+000
3509, 2.320270836353300e-001, 5.570466443896290e-002, 3.359264529892468e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.563829885407213e+004, 0.000000000000000e+000, 3.025531954162885e+004, 3.137529985625938e+002, 0.000000000000000e+000, -5.908596160903580e-001, 1.910278770896008e-005, 4.434426561017933e-003, 3.958126093957342e-004, -7.504695260149886e+002, 2.702377355960215e+000, 0.000000000000000e+000
3535, 2.426079511642460e-001, 5.662427470088010e-002, 3.331272274230676e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.499452172961987e+004, 0.000000000000000e+000, 2.999780869184794e+004, 3.136965527309069e+002, 0.000000000000000e+000, -6.087098495217641e-001, 1.910017473231168e-005, 4.452151425854476e-003, 3.716857165853120e-004, -7.625120726326674e+002, 2.696748640860502e+000, 0.000000000000000e+000
3561, 2.535301446914670e-001, 5.749983713030820e-002, 3.306017854990352e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.442009480933219e+004, 0.000000000000000e+000, 2.976803792373287e+004, 3.136717167333618e+002, 0.000000000000000e+000, -6.246371855934555e-001, 1.909902495695918e-005, 4.430356497709457e-003, 3.398962442124459e-004, -7.598383186978313e+002, 2.679745432935599e+000, 0.000000000000000e+000
3587, 2.647941112518310e-001, 5.832639336586000e-002, 3.290238116392487e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.406285359447282e+004, 0.000000000000000e+000, 2.962514143778912e+004, 3.136631131189578e+002, 0.000000000000000e+000, -6.345425376700525e-001, 1.909862664464337e-005, 4.385506263753227e-003, 3.058719613659404e-004, -7.404646324524377e+002, 2.658525972511817e+000, 0.000000000000000e+000
3613, 2.764054536819460e-001, 5.909530073404310e-002, 3.286538243354462e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.397837640125731e+004, 0.000000000000000e+000, 2.959135056050292e+004, 3.136580528100527e+002, 0.000000000000000e+000, -6.368848663444520e-001, 1.909839237042974e-005, 4.332202372294208e-003, 2.752411525619855e-004, -7.105367325262730e+002, 2.641177339704498e+000, 0.000000000000000e+000
3639, 2.883291840553280e-001, 5.982166528701780e-002, 3.290319945295836e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.406474959154584e+004, 0.000000000000000e+000, 2.962589983661833e+004, 3.136633419716483e+002, 0.000000000000000e+000, -6.344899666962585e-001, 1.909863723966085e-005, 4.279043221763945e-003, 2.506502631644303e-004, -6.816338866676202e+002, 2.626051093060463e+000, 0.000000000000000e+000
